4.623174	-4.623174	3
2.9146097	-4.623174	4
3.6181361	-4.623174	3
4.120655	-4.8241815	3
3.4171286	-4.120655	3
4.120655	-4.120655	8
4.8241815	-4.120655	3
4.120655	-3.4171286	3
4.623174	-3.6181361	3
4.623174	-2.9146097	4
0.50251891	-4.623174	3
1.2060454	-4.623174	4
1.7085643	-4.8241815	3
2.4120908	-4.8241815	4
1.7085643	-4.120655	5
2.4120908	-4.120655	5
1.7085643	-3.4171286	3
2.4120908	-3.4171286	4
2.9146097	-3.6181361	4
3.6181361	-3.6181361	3
2.9146097	-2.9146097	5
3.6181361	-2.9146097	4
3.4171286	-2.4120908	4
4.120655	-2.4120908	5
4.8241815	-2.4120908	4
3.4171286	-1.7085643	3
4.120655	-1.7085643	5
4.8241815	-1.7085643	3
4.623174	-1.2060454	4
4.623174	-0.50251891	3
-1.2060454	-4.623174	4
-0.50251891	-4.623174	3
0	-4.8241815	3
-0.70352647	-4.120655	3
0	-4.120655	8
0.70352647	-4.120655	3
0	-3.4171286	3
0.50251891	-3.6181361	3
1.2060454	-3.6181361	4
0.50251891	-2.9146097	4
1.2060454	-2.9146097	6
1.9095718	-2.9146097	3
1.7085643	-2.4120908	4
2.4120908	-2.4120908	5
1.7085643	-1.7085643	3
2.4120908	-1.7085643	4
2.9146097	-1.9095718	3
2.9146097	-1.2060454	6
3.6181361	-1.2060454	4
2.9146097	-0.50251891	4
3.6181361	-0.50251891	3
4.120655	-0.70352647	3
3.4171286	0	3
4.120655	0	7
4.8241815	0	3
4.623174	0.50251891	4
4.623174	1.2060454	3
-2.9146097	-4.623174	4
-2.2110832	-4.623174	3
-1.7085643	-4.8241815	3
-2.4120908	-4.120655	3
-1.7085643	-4.120655	7
-1.7085643	-3.4171286	3
-1.2060454	-3.6181361	4
-0.50251891	-3.6181361	3
-1.2060454	-2.9146097	5
-0.50251891	-2.9146097	4
-0.70352647	-2.4120908	3
0	-2.4120908	6
0.70352647	-2.4120908	4
0	-1.7085643	4
0.70352647	-1.7085643	3
1.2060454	-1.9095718	3
0.50251891	-1.2060454	3
1.2060454	-1.2060454	8
1.9095718	-1.2060454	3
1.2060454	-0.50251891	3
1.7085643	-0.70352647	3
2.4120908	-0.70352647	4
1.7085643	0	4
2.4120908	0	5
2.9146097	0.50251891	5
3.6181361	0.50251891	4
2.9146097	1.2060454	4
3.6181361	1.2060454	3
4.120655	1.0050378	3
