6	93	142	0	0	0	0	0
3	5	16	177	0	0	0	0
2	6	178	0	0	0	0	0
6	142	178	0	0	0	0	0
2	6	19	0	0	0	0	0
1	3	4	5	7	8	9	20
6	93	143	0	0	0	0	0
6	10	22	0	0	0	0	0
6	10	143	0	0	0	0	0
8	9	24	144	0	0	0	0
12	35	208	0	0	0	0	0
11	15	36	209	0	0	0	0
14	15	209	0	0	0	0	0
13	16	177	210	0	0	0	0
12	13	16	17	39	0	0	0
2	14	15	18	19	0	0	0
15	18	41	0	0	0	0	0
16	17	21	42	0	0	0	0
5	16	20	21	0	0	0	0
6	19	22	0	0	0	0	0
18	19	22	23	44	0	0	0
8	20	21	24	0	0	0	0
21	24	26	47	0	0	0	0
10	22	23	25	27	0	0	0
24	28	144	179	0	0	0	0
23	27	48	0	0	0	0	0
24	26	28	29	49	0	0	0
25	27	180	0	0	0	0	0
27	30	52	180	0	0	0	0
29	54	181	0	0	0	0	0
32	34	62	227	0	0	0	0
31	35	228	0	0	0	0	0
35	208	228	0	0	0	0	0
31	35	64	0	0	0	0	0
11	32	33	34	36	37	38	65
12	35	39	0	0	0	0	0
35	40	67	0	0	0	0	0
35	39	40	0	0	0	0	0
15	36	38	41	0	0	0	0
37	38	41	69	0	0	0	0
17	39	40	42	43	70	0	0
18	41	44	0	0	0	0	0
41	44	45	73	0	0	0	0
21	42	43	46	47	0	0	0
43	46	75	0	0	0	0	0
44	45	48	76	0	0	0	0
23	44	48	0	0	0	0	0
26	46	47	49	50	79	0	0
27	48	51	52	0	0	0	0
48	51	53	81	0	0	0	0
49	50	54	0	0	0	0	0
29	49	54	0	0	0	0	0
50	54	82	0	0	0	0	0
30	51	52	53	55	56	83	0
54	181	211	0	0	0	0	0
54	57	86	211	0	0	0	0
56	88	212	0	0	0	0	0
59	61	97	237	0	0	0	0
58	62	238	0	0	0	0	0
62	227	238	0	0	0	0	0
58	62	100	0	0	0	0	0
31	59	60	61	63	64	101	0
62	66	104	0	0	0	0	0
34	62	65	66	0	0	0	0
35	64	67	0	0	0	0	0
63	64	67	68	106	0	0	0
37	65	66	69	0	0	0	0
66	69	109	0	0	0	0	0
40	67	68	70	71	110	0	0
41	69	72	73	0	0	0	0
69	72	74	112	0	0	0	0
70	71	75	0	0	0	0	0
43	70	75	0	0	0	0	0
71	75	115	0	0	0	0	0
45	72	73	74	76	77	78	116
46	75	79	0	0	0	0	0
75	80	119	0	0	0	0	0
75	79	80	0	0	0	0	0
48	76	78	81	0	0	0	0
77	78	81	121	0	0	0	0
50	79	80	82	122	0	0	0
53	81	83	84	126	0	0	0
54	82	85	86	0	0	0	0
82	85	87	128	0	0	0	0
83	84	88	0	0	0	0	0
56	83	88	0	0	0	0	0
84	88	131	0	0	0	0	0
57	85	86	87	89	90	91	132
88	212	229	0	0	0	0	0
88	92	134	0	0	0	0	0
88	92	229	0	0	0	0	0
90	91	137	230	0	0	0	0
96	1	7	239	0	0	0	0
95	96	236	239	0	0	0	0
94	97	237	0	0	0	0	0
93	94	97	98	143	0	0	0
58	95	96	99	100	0	0	0
96	99	102	144	0	0	0	0
97	98	103	0	0	0	0	0
61	97	101	103	0	0	0	0
62	100	104	0	0	0	0	0
98	103	145	0	0	0	0	0
99	100	102	104	105	146	0	0
63	101	103	106	0	0	0	0
103	106	107	149	0	0	0	0
66	104	105	108	109	0	0	0
105	108	151	0	0	0	0	0
106	107	111	152	0	0	0	0
68	106	110	111	0	0	0	0
69	109	112	0	0	0	0	0
108	109	112	113	155	0	0	0
71	110	111	114	115	0	0	0
111	114	117	157	0	0	0	0
112	113	118	0	0	0	0	0
74	112	116	118	0	0	0	0
75	115	119	0	0	0	0	0
113	118	158	0	0	0	0	0
114	115	117	119	120	159	0	0
77	116	118	121	0	0	0	0
118	121	123	162	0	0	0	0
80	119	120	122	124	0	0	0
81	121	125	126	0	0	0	0
120	124	164	0	0	0	0	0
121	123	125	127	165	0	0	0
