  3    3    4
  4    2    5
  3    3    4
  3    3    4
  3    3    4
  8    0    8
  3    3    4
  3    3    4
  3    3    4
  4    2    5
  3    3    4
  4    3    5
  3    2    3
  4    2    3
  5    3    6
  5    3    8
  3    2    3
  4    2    3
  4    2    5
  3    3    4
  5    3    8
  4    2    5
  4    2    3
  5    3    8
  4    2    3
  3    2    3
  5    3    6
  3    2    3
  4    3    5
  3    3    3
  4    3    5
  3    3    4
  3    3    4
  3    3    4
  8    0    8
  3    3    4
  3    3    4
  3    3    4
  4    3    5
  4    2    5
  6    2    8
  3    2    3
  4    3    5
  5    3    6
  3    3    4
  4    3    5
  3    2    3
  6    2    8
  4    3    5
  4    2    4
  3    3    3
  3    3    4
  3    2    4
  7    1    8
  3    2    4
  4    3    5
  3    3    4
  4    3    5
  3    3    3
  3    2    4
  3    3    4
  7    1    8
  3    2    4
  4    3    5
  3    3    4
  5    3    6
  4    3    5
  3    2    3
  6    2    8
  4    2    5
  4    3    5
  3    3    4
  3    3    4
  3    3    4
  8    0    8
  3    3    4
  3    3    4
  3    3    4
  4    2    5
  4    2    5
  5    3    8
  5    3    6
  4    3    5
  4    3    5
  3    3    4
  3    3    4
  3    3    4
  8    0    8
  3    3    4
  3    3    4
  3    3    4
  4    3    5
  4    2    5
  4    2    3
  3    2    3
  5    3    8
  5    3    6
  4    2    3
  3    2    3
  4    3    5
  3    3    3
  3    2    3
  6    2    8
  4    2    4
  4    2    5
  5    3    8
  3    3    4
  4    2    5
  4    2    3
  3    2    3
  5    3    8
  5    3    6
  4    2    3
  3    2    3
  4    3    5
  3    3    4
  3    2    3
  6    2    8
  4    2    5
  4    2    4
  5    3    8
  4    2    3
  3    2    4
  5    3    6
  3    2    3
  3    2    3
  4    3    5
  6    2    8
  3    3    4
  4    2    5
  4    2    5
  3    3    4
  6    2    8
  4    3    5
  3    2    3
  3    2    3
  5    3    6
  3    2    3
  4    2    3
  5    3    8
  4    2    3
  4    2    5
  4    2    5
  5    3    8
  5    3    6
  4    3    5
  4    3    5
  3    3    4
  3    3    4
  3    3    4
  8    0    8
  3    3    4
  3    3    4
  3    3    4
  4    2    5
  4    2    5
  5    3    8
  5    3    6
  4    3    5
  4    3    5
  3    3    4
  3    3    3
  3    3    3
  7    1    8
  4    3    5
  4    3    5
  3    3    4
  3    3    4
  3    3    4
  8    0    8
  3    3    4
  3    3    4
  3    3    4
  4    3    5
  4    3    5
  5    3    6
  5    3    8
  4    2    5
  3    2    3
  6    2    8
  4    2    4
  4    2    5
  3    3    4
  5    3    8
  4    2    5
  4    2    3
  5    3    8
  4    2    3
  3    2    3
  5    3    6
  3    2    3
  3    2    3
  4    3    5
  6    2    8
  3    3    4
  4    2    5
  4    2    4
  3    2    4
  5    3    8
  5    3    6
  4    2    3
  3    2    3
  4    3    5
  3    3    4
  3    2    3
  6    2    8
  4    2    5
  4    2    5
  6    2    8
  3    2    3
  5    3    6
  4    3    5
  3    2    3
  6    2    8
  4    3    5
  4    2    5
  3    3    4
  3    3    4
  3    3    4
  8    0    8
  3    3    4
  3    3    4
  3    3    4
  4    2    5
  4    2    5
  5    3    8
  5    3    6
  4    3    5
  4    2    5
  6    2    8
  3    2    3
  4    3    5
  3    3    4
  5    3    6
  4    3    5
  3    2    3
  6    2    8
  4    2    4
  5    3    8
