8	61	71	100	0	0	0	0
62	72	101	0	0	0	0	0
63	73	102	0	0	0	0	0
64	74	103	0	0	0	0	0
65	75	104	0	0	0	0	0
66	76	105	0	0	0	0	0
67	106	0	0	0	0	0	0
1	68	107	0	0	0	0	0
16	87	0	0	0	0	0	0
17	78	88	117	0	0	0	0
18	79	89	118	0	0	0	0
80	90	119	0	0	0	0	0
81	91	120	0	0	0	0	0
82	92	121	0	0	0	0	0
83	122	0	0	0	0	0	0
9	84	94	123	0	0	0	0
10	85	124	0	0	0	0	0
11	86	125	0	0	0	0	0
26	103	132	0	0	0	0	0
27	104	133	0	0	0	0	0
28	95	105	0	0	0	0	0
29	96	106	135	0	0	0	0
30	97	107	136	0	0	0	0
98	108	137	0	0	0	0	0
99	138	0	0	0	0	0	0
19	100	110	139	0	0	0	0
20	101	111	140	0	0	0	0
21	102	141	0	0	0	0	0
22	103	142	0	0	0	0	0
23	104	143	0	0	0	0	0
38	119	148	0	0	0	0	0
39	120	149	0	0	0	0	0
40	121	150	0	0	0	0	0
41	112	122	151	0	0	0	0
42	113	123	0	0	0	0	0
43	114	124	153	0	0	0	0
44	115	154	0	0	0	0	0
31	116	126	155	0	0	0	0
32	117	127	156	0	0	0	0
33	118	128	157	0	0	0	0
34	119	158	0	0	0	0	0
35	120	159	0	0	0	0	0
36	121	160	0	0	0	0	0
37	122	161	0	0	0	0	0
52	135	164	0	0	0	0	0
53	136	165	0	0	0	0	0
54	137	166	0	0	0	0	0
55	138	167	0	0	0	0	0
56	129	139	168	0	0	0	0
57	130	140	169	0	0	0	0
58	131	0	0	0	0	0	0
45	59	132	142	171	0	0	0
46	60	133	143	172	0	0	0
47	134	144	173	0	0	0	0
48	135	145	174	0	0	0	0
49	136	175	0	0	0	0	0
50	137	176	0	0	0	0	0
51	138	177	0	0	0	0	0
52	139	178	0	0	0	0	0
53	140	179	0	0	0	0	0
1	68	151	0	0	0	0	0
2	152	180	0	0	0	0	0
3	70	153	181	0	0	0	0
4	71	154	182	0	0	0	0
5	72	155	183	0	0	0	0
6	73	146	156	184	0	0	0
7	74	147	185	0	0	0	0
8	61	75	148	158	186	0	0
76	149	159	0	0	0	0	0
63	77	150	160	188	0	0	0
1	64	151	161	189	0	0	0
2	65	152	162	190	0	0	0
3	66	153	191	0	0	0	0
4	67	154	192	0	0	0	0
5	68	155	193	0	0	0	0
6	69	156	194	0	0	0	0
70	157	0	0	0	0	0	0
10	85	168	0	0	0	0	0
11	86	169	0	0	0	0	0
12	170	196	0	0	0	0	0
